feature,coef,std_err,z,pvalue,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high,n,year,pseudo_r2
mean_politeness,0.20316182665401541,0.13457714615708846,1.5096309622799535,0.13113761625977527,-0.060609379813877956,0.4669330331219088,1.2252707336678441,0.9411908161117335,1.5950945813358974,1000,2020,0.6524020678499516
mean_toxicity,0.1230101020580512,0.1264265447271668,0.9729768564308356,0.33056480469028315,-0.12478592560719572,0.37080612972329813,1.1308958452652633,0.8826858427960769,1.4489021470957242,1000,2020,0.6524020678499516
mean_constructiveness,-0.11714980476275963,0.1424326672936621,-0.8224925291978471,0.4107966368535454,-0.3963178326583373,0.16201822313281808,0.8894519390458949,0.6727928264192969,1.1758816693735952,1000,2020,0.6524020678499516
const,-2.500300006094786,0.20035466037496907,-12.479370339653734,0.0,-2.8929951404297256,-2.107604871759847,0.08206037631762676,0.0554100030848495,0.12152869493760665,1000,2021,0.6158717759749828
mean_score,4.486943363571529,0.325641231958091,13.778793725203029,0.0,3.84868654893367,5.125200178209387,88.8494499287644,46.93138065995504,168.20780982009094,1000,2021,0.6158717759749828
score_std,0.10311260433336394,0.11469932725659121,0.8989817708581074,0.36866237047424466,-0.12169807708955482,0.3279232857562827,1.108616237040119,0.8854156554222131,1.3880824825069604,1000,2021,0.6158717759749828
num_reviews,0.15477084086068177,0.1199623583467337,1.2901617056688668,0.19699451902031795,-0.08035538149891627,0.38989706322027984,1.1673904122685415,0.9227883462018336,1.4768287660607733,1000,2021,0.6158717759749828
mean_sentiment,0.032959583842527417,0.11841684300661427,0.27833526891682486,0.7807550046488791,-0.19913742845043655,0.2650565961354914,1.0335087679440789,0.8194372715999219,1.3035047470220416,1000,2021,0.6158717759749828
mean_politeness,0.2682729136407088,0.1371658853138481,1.9558282515136751,0.05048538962915039,-0.0005722215744334291,0.5371180488558511,1.3077039815738374,0.9994279421131084,1.7110685336737677,1000,2021,0.6158717759749828
mean_toxicity,-0.1541700842660369,0.11496244164496319,-1.3410474069623373,0.17990506125217243,-0.3794964698901647,0.07115630135809095,0.8571262249281311,0.6842058407313917,1.073749041186521,1000,2021,0.6158717759749828
mean_constructiveness,-0.27479048689211266,0.131477578234176,-2.090017861468977,0.036616195245640526,-0.5324865402310976,-0.01709443355312773,0.7597312802133254,0.5871431978713928,0.9830508472670847,1000,2021,0.6158717759749828
const,-1.433929639918011,0.14348462668941786,-9.993611671178183,0.0,-1.71515950822927,-1.152699771606752,0.23837036964481417,0.1799350173079639,0.315783075327442,1000,2022,0.6089639316002251
mean_score,4.4147792043512455,0.30330661705144174,14.555499142316718,0.0,3.8202982349304198,5.009260173772072,82.6635871306564,45.61781111705782,149.79387370808038,1000,2022,0.6089639316002251
score_std,-0.01143678300950618,0.10305726708422323,-0.11097502711923754,0.911636149862677,-0.2134290264945837,0.19055546047557134,0.9886283683826493,0.8078094911873446,1.209921474597118,1000,2022,0.6089639316002251
num_reviews,-0.03449361247311551,0.11577536861001382,-0.2979356739455204,0.7657522597911424,-0.2614133349487426,0.19242611000251159,0.9660945106214426,0.7699626013812101,1.2121869319089005,1000,2022,0.6089639316002251
mean_sentiment,0.06406025809899679,0.11756528194690227,0.5448909494210141,0.5858285213279719,-0.16636769451693165,0.29448821071492526,1.0661566413983596,0.8467348371864943,1.3424391368787787,1000,2022,0.6089639316002251
mean_politeness,0.010595499213109379,0.12954222219294673,0.08179185931616881,0.9348122297092047,-0.24330725628506622,0.26449825471128496,1.0106518302910708,0.7840305784360952,1.3027771494679588,1000,2022,0.6089639316002251
mean_toxicity,0.09586999544785382,0.10489937407589865,0.9139234270214831,0.36075708281810437,-0.10973277774090753,0.3014727686366152,1.1006159696065059,0.8960735541055271,1.35184830196452,1000,2022,0.6089639316002251
mean_constructiveness,-0.025546286036921693,0.12403601108366118,-0.20595862293322986,0.8368232324512974,-0.2686568677608976,0.2175642956870542,0.9747772593453284,0.7644055028246618,1.2430453493932303,1000,2022,0.6089639316002251
const,-1.6121493832212577,0.1626538963749435,-9.911532518747617,0.0,-1.9309510201161468,-1.2933477463263685,0.1994584403859039,0.145010225245105,0.2743507871526469,1000,2023,0.6490369160588552
mean_score,5.19212690814971,0.37176011669810344,13.966336556662153,0.0,4.463477079421427,5.920776736877993,179.85067228200919,86.78875646141697,372.7010921589896,1000,2023,0.6490369160588552
score_std,-0.074602728808501,0.10536074802034605,-0.708069468091614,0.47890211881933675,-0.2811097949283793,0.13190433731137727,0.9281121253087472,0.7549454417489285,1.1409991629985785,1000,2023,0.6490369160588552
num_reviews,-0.120050067790362,0.12219034318381815,-0.982484087222536,0.32586141862491824,-0.35954314043064556,0.11944300484992158,0.8868760316823044,0.6979951389977316,1.1268690161681887,1000,2023,0.6490369160588552
mean_sentiment,-0.05799750678472684,0.1212990489744938,-0.47813653342758106,0.6325530310092695,-0.2957436427747347,0.179748629205281,0.9436523001621929,0.7439781277439957,1.196916455463074,1000,2023,0.6490369160588552
mean_politeness,0.09316878207615276,0.1296755652004798,0.7184760053454391,0.47246383753615206,-0.16099532571678765,0.34733288986909316,1.097646982771048,0.8512960502966879,1.4152877819255554,1000,2023,0.6490369160588552
mean_toxicity,-0.03893385635354337,0.11677654880807291,-0.3334047525032854,0.738828776211456,-0.2678158920173663,0.18994817931027952,0.9618143249491193,0.7650486196957005,1.2091869351326783,1000,2023,0.6490369160588552
mean_constructiveness,0.12806498439262423,0.1322845966200844,0.9681020138755935,0.332993424216812,-0.1312128249827412,0.38734279376798963,1.136626863303493,0.8770311003984977,1.473061360989509,1000,2023,0.6490369160588552
