feature,coef,std_err,z,pvalue,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high,n,year,pseudo_r2
const,-1.4393205979244252,0.143777078327624,-10.010779288786587,1.3667167867282157e-23,-1.7211184932489627,-1.1575227025998878,0.23708878258692537,0.1788659756004941,0.3142637421110238,1000,2022,0.6098587110832214
mean_score,4.37823636368784,0.3031883243223068,14.440649630800165,2.871230758476897e-47,3.7839981674830696,4.972474559892611,79.69735224194845,43.991576283306806,144.38373186430766,1000,2022,0.6098587110832214
score_std,0.0009436078664187443,0.10398003148986021,0.009074894986070108,0.9927593807818305,-0.20285350896504795,0.20474072469788546,1.0009440532043854,0.8163978276289447,1.227206839286918,1000,2022,0.6098587110832214
mean_confidence,-0.12469581613131753,0.11390632656018147,-1.0947224785221699,0.2736382376296561,-0.34794811380053137,0.09855648153789634,0.8827653847384238,0.7061355139520085,1.1035767343452716,1000,2022,0.6098587110832214
num_reviews,-0.03068656596842546,0.11629094389474913,-0.2638775208170879,0.791874297685252,-0.25861262773030186,0.19723949579345093,0.9697794873394565,0.7721220637962533,1.21803572020777,1000,2022,0.6098587110832214
mean_sentiment,0.0786739804669267,0.11842301962984249,0.6643470223343378,0.5064682317783367,-0.15343087294804442,0.3107788338818978,1.0818515598293585,0.8577600565734469,1.3644874094285815,1000,2022,0.6098587110832214
mean_politeness,-0.008241255677565604,0.1309708821340901,-0.06292433511387724,0.9498267566215121,-0.26493946768382265,0.24845695632869141,0.9917926103732209,0.7672523921346043,1.2820456372306215,1000,2022,0.6098587110832214
mean_toxicity,0.08608521584981636,0.10567364866186994,0.814632757928783,0.41528255371358247,-0.12103132964238801,0.29320176134202075,1.0898992010345885,0.8860062009006151,1.3407132672529467,1000,2022,0.6098587110832214
mean_constructiveness,-0.0325850199409593,0.12454483173700508,-0.2616328553060107,0.7936045112085053,-0.27668840460609034,0.21151836472417174,0.967940152118297,0.7582907402043589,1.2355526560040753,1000,2022,0.6098587110832214
const,-1.6084051601299671,0.16315186554912764,-9.858331406242183,6.30890723119085e-23,-1.9281769406167786,-1.2886333796431557,0.2002066571552853,0.14541305361879184,0.27564723091761023,1000,2023,0.6490891665906825
mean_score,5.195700535717543,0.3720681320802887,13.964379337374588,2.571357273886655e-44,4.466460397045085,5.92494067439,180.4945413915418,87.04806149041332,374.2562317224131,1000,2023,0.6490891665906825
score_std,-0.07812109076372821,0.10625309612449131,-0.7352359000644813,0.4621958386739625,-0.2863733324136036,0.13013115088614713,0.9248524286757982,0.7509821976091089,1.1389777514709327,1000,2023,0.6490891665906825
mean_confidence,0.03198289306846408,0.12032369663898915,0.2658071016918914,0.7903877735580495,-0.2038472188306778,0.26781300496760596,1.0324998422499263,0.8155869679996819,1.3071026954498106,1000,2023,0.6490891665906825
num_reviews,-0.11856361318123795,0.12230959456317383,-0.9693729556105997,0.3323591407809048,-0.35828601348875466,0.12115878712627876,0.8881953129302482,0.6988731592681103,1.1288041377027869,1000,2023,0.6490891665906825
mean_sentiment,-0.05794995019729623,0.12124056880839791,-0.4779749119197652,0.6326680615011122,-0.2955770985269064,0.17967719813231392,0.9436971781124223,0.74410204334011,1.1968309614899078,1000,2023,0.6490891665906825
mean_politeness,0.09407081063729575,0.12974195411594866,0.7250608431041968,0.46841470508064853,-0.16021874671381184,0.3483603679884033,1.0986375383871243,0.8519574056987866,1.416742706477584,1000,2023,0.6490891665906825
mean_toxicity,-0.03643967126410032,0.11704266150738882,-0.3113366595974059,0.7555447008107183,-0.2658390724732949,0.1929597299450943,0.9642162620899254,0.7665624785792037,1.2128339516458695,1000,2023,0.6490891665906825
mean_constructiveness,0.12904898997064707,0.13240542486457618,0.9746503219383793,0.32973374294244673,-0.13046087412164642,0.38855885406294055,1.13774586093678,0.8776908327017,1.4748537820477885,1000,2023,0.6490891665906825
